Contraction.avg_deg,Contraction.error_status,Contraction.in_n,Contraction.largest_clique,Contraction.max_deg,Contraction.out_n,Contraction.time,GraphInput.error_status,GraphInput.girg_options,GraphInput.graph,GraphInput.m,GraphInput.n,GraphInput.n_gen,GraphInput.option,GraphInput.time,GraphStats.avg_deg,GraphStats.clustering,GraphStats.deg_cov,GraphStats.error_status,GraphStats.largest_clique,GraphStats.num_cliques,GraphStats.sum_clique_sizes,GraphStats.time,GraphStats2.error_status,GraphStats2.largest_bag_cc,GraphStats2.time,PartLargestBag.error_status,PartLargestBag.input_cliques_max,PartLargestBag.input_cliques_mean,PartLargestBag.input_cliques_median,PartLargestBag.input_cliques_sum,PartLargestBag.max_partition_num,PartLargestBag.max_weight,PartLargestBag.mean_partition_num,PartLargestBag.median_partition_num,PartLargestBag.num_branching_max,PartLargestBag.num_branching_mean,PartLargestBag.num_branching_median,PartLargestBag.num_branching_sum,PartLargestBag.num_clq_red,PartLargestBag.num_lb2_reductions_max,PartLargestBag.num_lb2_reductions_mean,PartLargestBag.num_lb2_reductions_median,PartLargestBag.num_lb2_reductions_sum,PartLargestBag.num_lb_reductions_max,PartLargestBag.num_lb_reductions_mean,PartLargestBag.num_lb_reductions_median,PartLargestBag.num_lb_reductions_sum,PartLargestBag.num_leaves_max,PartLargestBag.num_leaves_mean,PartLargestBag.num_leaves_median,PartLargestBag.num_leaves_sum,PartLargestBag.num_sw_reductions_max,PartLargestBag.num_sw_reductions_mean,PartLargestBag.num_sw_reductions_median,PartLargestBag.num_sw_reductions_sum,PartLargestBag.partition_option,PartLargestBag.status,PartLargestBag.time,Partition.AssignVertices.error_status,Partition.AssignVertices.option,Partition.AssignVertices.time,Partition.MaximalIS.error_status,Partition.MaximalIS.option,Partition.MaximalIS.size,Partition.MaximalIS.time,Partition.amount,Partition.average,Partition.error_status,Partition.hs_size,Partition.input_cliques,Partition.largest,Partition.lower_bound,Partition.median,Partition.num_branching,Partition.num_dead_end,Partition.num_lb2_reductions,Partition.num_lb_reductions,Partition.num_leaves,Partition.num_long_paths,Partition.num_sw_reductions,Partition.option,Partition.product_weight,Partition.smallest,Partition.status,Partition.time,PartitionBags.error_status,PartitionBags.input_cliques_max,PartitionBags.input_cliques_mean,PartitionBags.input_cliques_median,PartitionBags.input_cliques_sum,PartitionBags.max_partition_num,PartitionBags.max_weight,PartitionBags.mean_partition_num,PartitionBags.median_partition_num,PartitionBags.num_branching_max,PartitionBags.num_branching_mean,PartitionBags.num_branching_median,PartitionBags.num_branching_sum,PartitionBags.num_clq_red,PartitionBags.num_lb2_reductions_max,PartitionBags.num_lb2_reductions_mean,PartitionBags.num_lb2_reductions_median,PartitionBags.num_lb2_reductions_sum,PartitionBags.num_lb_reductions_max,PartitionBags.num_lb_reductions_mean,PartitionBags.num_lb_reductions_median,PartitionBags.num_lb_reductions_sum,PartitionBags.num_leaves_max,PartitionBags.num_leaves_mean,PartitionBags.num_leaves_median,PartitionBags.num_leaves_sum,PartitionBags.num_sw_reductions_max,PartitionBags.num_sw_reductions_mean,PartitionBags.num_sw_reductions_median,PartitionBags.num_sw_reductions_sum,PartitionBags.partition_option,PartitionBags.status,PartitionBags.time,Treewidth.error_status,Treewidth.num_bags,Treewidth.option,Treewidth.status,Treewidth.time,Treewidth.treewidth,WeightedTreewidth.elimination_width,WeightedTreewidth.error_status,WeightedTreewidth.option,WeightedTreewidth.time,WeightedTreewidth.time_elimination_game,WeightedTreewidth.treewidth,error_status,option,time
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.9 seed=4511 type=girg,,18464,3706,3743,GirgGen,0.16908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1,-1,-1,-1,5,8.92481250360578,1.762844504933651,2.0,-1,-1,-1,-1,1296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(LargestCliqueRepeat),success,0.408922,none,2939,HTD,,0.158069,14,,,,,,,none,PartitionTreedec,0.738024
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.9 seed=4512 type=girg,,18573,3731,3743,GirgGen,0.062055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1,-1,-1,-1,5,8.169925001442312,1.8346020761245674,2.0,-1,-1,-1,-1,1174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(LargestCliqueRepeat),success,0.387343,none,2890,HTD,,0.091204,14,,,,,,,none,PartitionTreedec,0.542672
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.9 seed=4513 type=girg,,18695,3683,3743,GirgGen,0.046392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1,-1,-1,-1,5,8.754887502163468,1.893833216538192,2.0,-1,-1,-1,-1,1098,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(LargestCliqueRepeat),success,0.44374,none,2854,HTD,,0.100192,14,,,,,,,none,PartitionTreedec,0.592341
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.9 seed=4514 type=girg,,19089,3717,3743,GirgGen,0.048927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1,-1,-1,-1,7,10.044394119358454,1.8305555555555555,2.0,-1,-1,-1,-1,1199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(LargestCliqueRepeat),success,0.432747,none,2880,HTD,,0.212129,19,,,,,,,none,PartitionTreedec,0.695924
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.9 seed=4515 type=girg,,18614,3721,3743,GirgGen,0.045989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1,-1,-1,-1,7,10.39231742277876,1.8291008922443377,2.0,-1,-1,-1,-1,1214,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(LargestCliqueRepeat),success,0.381037,none,2914,HTD,,0.108866,16,,,,,,,none,PartitionTreedec,0.537859
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.9 seed=4516 type=girg,,18710,3719,3743,GirgGen,0.045021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1,-1,-1,-1,8,10.584962500721156,1.6647612642905179,2.0,-1,-1,-1,-1,1438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(LargestCliqueRepeat),success,0.476963,none,2974,HTD,,0.169124,16,,,,,,,none,PartitionTreedec,0.693131
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.9 seed=4517 type=girg,,18737,3718,3743,GirgGen,0.067144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1,-1,-1,-1,5,8.807354922057604,1.855098389982111,2.0,-1,-1,-1,-1,1099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(LargestCliqueRepeat),success,0.384409,none,2795,HTD,,0.090295,14,,,,,,,none,PartitionTreedec,0.543935
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.9 seed=4518 type=girg,,18951,3713,3743,GirgGen,0.043967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1,-1,-1,-1,6,9.0,1.8221453287197231,2.0,-1,-1,-1,-1,1193,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(LargestCliqueRepeat),success,0.387378,none,2890,HTD,,0.15867,14,,,,,,,none,PartitionTreedec,0.592002
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.9 seed=4519 type=girg,,18839,3703,3743,GirgGen,0.104922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1,-1,-1,-1,6,9.228818690495881,1.777388869443472,2.0,-1,-1,-1,-1,1226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(LargestCliqueRepeat),success,0.487853,none,2857,HTD,,0.120045,16,,,,,,,none,PartitionTreedec,0.714869
,,,,,,,none,alpha=5 d=1 deg=10 ple=2.9 seed=4520 type=girg,,18651,3717,3743,GirgGen,0.049294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,-1,-1,-1,-1,5,8.584962500721156,1.7196293754289635,2.0,-1,-1,-1,-1,1309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Partition(LargestCliqueRepeat),success,0.412146,none,2914,HTD,,0.095356,17,,,,,,,none,PartitionTreedec,0.558893
