Contraction.avg_deg,Contraction.error_status,Contraction.in_n,Contraction.largest_clique,Contraction.max_deg,Contraction.out_n,Contraction.time,GraphInput.error_status,GraphInput.girg_options,GraphInput.graph,GraphInput.m,GraphInput.n,GraphInput.n_gen,GraphInput.option,GraphInput.time,GraphStats.avg_deg,GraphStats.clustering,GraphStats.deg_cov,GraphStats.error_status,GraphStats.largest_clique,GraphStats.num_cliques,GraphStats.sum_clique_sizes,GraphStats.time,GraphStats2.error_status,GraphStats2.largest_bag_cc,GraphStats2.time,PartLargestBag.error_status,PartLargestBag.input_cliques_max,PartLargestBag.input_cliques_mean,PartLargestBag.input_cliques_median,PartLargestBag.input_cliques_sum,PartLargestBag.max_partition_num,PartLargestBag.max_weight,PartLargestBag.mean_partition_num,PartLargestBag.median_partition_num,PartLargestBag.num_branching_max,PartLargestBag.num_branching_mean,PartLargestBag.num_branching_median,PartLargestBag.num_branching_sum,PartLargestBag.num_clq_red,PartLargestBag.num_lb2_reductions_max,PartLargestBag.num_lb2_reductions_mean,PartLargestBag.num_lb2_reductions_median,PartLargestBag.num_lb2_reductions_sum,PartLargestBag.num_lb_reductions_max,PartLargestBag.num_lb_reductions_mean,PartLargestBag.num_lb_reductions_median,PartLargestBag.num_lb_reductions_sum,PartLargestBag.num_leaves_max,PartLargestBag.num_leaves_mean,PartLargestBag.num_leaves_median,PartLargestBag.num_leaves_sum,PartLargestBag.num_sw_reductions_max,PartLargestBag.num_sw_reductions_mean,PartLargestBag.num_sw_reductions_median,PartLargestBag.num_sw_reductions_sum,PartLargestBag.partition_option,PartLargestBag.status,PartLargestBag.time,Partition.AssignVertices.error_status,Partition.AssignVertices.option,Partition.AssignVertices.time,Partition.MaximalIS.error_status,Partition.MaximalIS.option,Partition.MaximalIS.size,Partition.MaximalIS.time,Partition.amount,Partition.average,Partition.error_status,Partition.hs_size,Partition.input_cliques,Partition.largest,Partition.lower_bound,Partition.median,Partition.num_branching,Partition.num_dead_end,Partition.num_lb2_reductions,Partition.num_lb_reductions,Partition.num_leaves,Partition.num_long_paths,Partition.num_sw_reductions,Partition.option,Partition.product_weight,Partition.smallest,Partition.status,Partition.time,PartitionBags.error_status,PartitionBags.input_cliques_max,PartitionBags.input_cliques_mean,PartitionBags.input_cliques_median,PartitionBags.input_cliques_sum,PartitionBags.max_partition_num,PartitionBags.max_weight,PartitionBags.mean_partition_num,PartitionBags.median_partition_num,PartitionBags.num_branching_max,PartitionBags.num_branching_mean,PartitionBags.num_branching_median,PartitionBags.num_branching_sum,PartitionBags.num_clq_red,PartitionBags.num_lb2_reductions_max,PartitionBags.num_lb2_reductions_mean,PartitionBags.num_lb2_reductions_median,PartitionBags.num_lb2_reductions_sum,PartitionBags.num_lb_reductions_max,PartitionBags.num_lb_reductions_mean,PartitionBags.num_lb_reductions_median,PartitionBags.num_lb_reductions_sum,PartitionBags.num_leaves_max,PartitionBags.num_leaves_mean,PartitionBags.num_leaves_median,PartitionBags.num_leaves_sum,PartitionBags.num_sw_reductions_max,PartitionBags.num_sw_reductions_mean,PartitionBags.num_sw_reductions_median,PartitionBags.num_sw_reductions_sum,PartitionBags.partition_option,PartitionBags.status,PartitionBags.time,Treewidth.error_status,Treewidth.num_bags,Treewidth.option,Treewidth.status,Treewidth.time,Treewidth.treewidth,WeightedTreewidth.elimination_width,WeightedTreewidth.error_status,WeightedTreewidth.option,WeightedTreewidth.time,WeightedTreewidth.time_elimination_game,WeightedTreewidth.treewidth,error_status,option,time
,,,,,,,none,alpha=1.375 d=1 deg=10 ple=2.5 seed=1268 type=girg,,2525,499,500,GirgGen,0.080574,,,,,,,,,none,134,0.053451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats2,0.134229
,,,,,,,none,alpha=1.375 d=1 deg=10 ple=2.5 seed=1269 type=girg,,2486,498,500,GirgGen,0.012689,,,,,,,,,none,146,0.076771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats2,0.089649
,,,,,,,none,alpha=1.375 d=1 deg=10 ple=2.5 seed=1270 type=girg,,2469,498,500,GirgGen,0.385818,,,,,,,,,none,164,0.086242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats2,0.472251
,,,,,,,none,alpha=1.375 d=1 deg=10 ple=2.5 seed=1271 type=girg,,2491,497,500,GirgGen,0.018842,,,,,,,,,none,172,0.133961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats2,0.152982
,,,,,,,none,alpha=1.375 d=1 deg=10 ple=2.5 seed=1272 type=girg,,2534,497,500,GirgGen,0.06227,,,,,,,,,none,179,0.065671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats2,0.128135
,,,,,,,none,alpha=1.375 d=1 deg=10 ple=2.5 seed=1273 type=girg,,2540,497,500,GirgGen,0.01937,,,,,,,,,none,126,0.101435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats2,0.120992
,,,,,,,none,alpha=1.375 d=1 deg=10 ple=2.5 seed=1274 type=girg,,2519,499,500,GirgGen,0.00985,,,,,,,,,none,107,0.083947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats2,0.093979
,,,,,,,none,alpha=1.375 d=1 deg=10 ple=2.5 seed=1275 type=girg,,2484,500,500,GirgGen,0.008671,,,,,,,,,none,146,0.082112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats2,0.09096
,,,,,,,none,alpha=1.375 d=1 deg=10 ple=2.5 seed=1276 type=girg,,2450,498,500,GirgGen,0.010017,,,,,,,,,none,135,0.077825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats2,0.088043
,,,,,,,none,alpha=1.375 d=1 deg=10 ple=2.5 seed=1277 type=girg,,2431,500,500,GirgGen,0.008898,,,,,,,,,none,162,0.052081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,CalcStats2,0.06116
